epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3619.37,0.43908,0.42309,1.00457,0.95655,0.92064,0.96977,0.87228,0.44023,0.37147,0.97114,0.000538,0.000538,0.000538
44,3693.53,0.41982,0.41588,0.98905,0.95419,0.91263,0.96839,0.88091,0.43895,0.37631,0.97311,0.000527,0.000527,0.000527
45,3767.15,0.42448,0.41064,0.99374,0.95865,0.93409,0.96863,0.87472,0.43896,0.35712,0.96974,0.000516,0.000516,0.000516
46,3840.82,0.42259,0.40874,0.99457,0.95641,0.92952,0.97392,0.88676,0.42373,0.34775,0.96326,0.000505,0.000505,0.000505
47,3915.19,0.42738,0.41436,0.9925,0.95706,0.92907,0.97485,0.88517,0.43578,0.34725,0.96138,0.000494,0.000494,0.000494
48,3990.87,0.42509,0.39865,0.9868,0.96573,0.93466,0.97226,0.88694,0.41761,0.3415,0.95401,0.000483,0.000483,0.000483
49,4066.4,0.41615,0.37896,0.98598,0.9766,0.92774,0.97474,0.88994,0.42063,0.32952,0.9553,0.000472,0.000472,0.000472
50,4142.18,0.41216,0.38156,0.98728,0.95811,0.93987,0.97194,0.888,0.42371,0.33464,0.96661,0.000461,0.000461,0.000461
51,4216.33,0.41512,0.38444,0.98523,0.95337,0.93067,0.96876,0.8781,0.43026,0.34841,0.96259,0.00045,0.00045,0.00045
52,4290.08,0.41753,0.3854,0.99104,0.95454,0.93784,0.97126,0.88829,0.4052,0.33336,0.95046,0.000439,0.000439,0.000439
53,4365.3,0.41006,0.38945,0.98546,0.96532,0.93996,0.97481,0.89226,0.41404,0.32645,0.94815,0.000428,0.000428,0.000428
54,4439.58,0.40644,0.38287,0.98923,0.95704,0.93592,0.97346,0.89335,0.41442,0.32908,0.94653,0.000417,0.000417,0.000417
55,4512.85,0.40312,0.37131,0.98526,0.96514,0.93948,0.97164,0.89378,0.4039,0.32023,0.94426,0.000406,0.000406,0.000406
56,4587.07,0.39896,0.37026,0.97922,0.95556,0.91924,0.96502,0.87914,0.40829,0.35818,0.94684,0.000395,0.000395,0.000395
57,4660.5,0.38759,0.36438,0.97794,0.97158,0.94197,0.97529,0.89221,0.41353,0.3116,0.95551,0.000384,0.000384,0.000384
58,4734.87,0.38734,0.36376,0.97387,0.9734,0.93105,0.97726,0.89619,0.41663,0.30731,0.95585,0.000373,0.000373,0.000373
59,4808.87,0.39357,0.35683,0.97791,0.95671,0.9197,0.97256,0.89216,0.40516,0.34066,0.94695,0.000362,0.000362,0.000362
60,4883.54,0.37833,0.34603,0.97205,0.96451,0.94632,0.97823,0.89484,0.40383,0.30945,0.94241,0.000351,0.000351,0.000351
61,4958.84,0.38344,0.35396,0.96892,0.95982,0.9308,0.97327,0.89409,0.40503,0.33139,0.94842,0.00034,0.00034,0.00034
62,5033.14,0.38531,0.35069,0.97056,0.954,0.946,0.97646,0.89829,0.40017,0.30977,0.94985,0.000329,0.000329,0.000329
63,5106.92,0.38155,0.34649,0.9789,0.96074,0.9452,0.97921,0.90215,0.39387,0.30137,0.93683,0.000318,0.000318,0.000318
64,5180.53,0.3729,0.35337,0.9661,0.97238,0.94298,0.98137,0.90192,0.39462,0.29709,0.93926,0.000307,0.000307,0.000307
65,5253.74,0.37277,0.33266,0.9689,0.95916,0.95296,0.9783,0.90654,0.38456,0.29845,0.93221,0.000296,0.000296,0.000296
66,5327.27,0.36938,0.32997,0.96341,0.96856,0.93965,0.98189,0.90487,0.38545,0.299,0.93122,0.000285,0.000285,0.000285
67,5400.78,0.3688,0.3299,0.96855,0.96861,0.94001,0.97991,0.90645,0.38107,0.29479,0.92796,0.000274,0.000274,0.000274
68,5475.01,0.37282,0.33685,0.96835,0.97041,0.949,0.983,0.90814,0.38348,0.28427,0.92706,0.000263,0.000263,0.000263
69,5549.36,0.36927,0.3332,0.96424,0.96955,0.94164,0.97884,0.90741,0.38199,0.29391,0.92953,0.000252,0.000252,0.000252
70,5623.14,0.36361,0.32193,0.96288,0.97138,0.94582,0.97983,0.90878,0.37479,0.28763,0.91951,0.000241,0.000241,0.000241
71,5696.04,0.36015,0.31594,0.96105,0.96917,0.95282,0.98001,0.90814,0.37973,0.28509,0.926,0.00023,0.00023,0.00023
72,5770.17,0.36027,0.31666,0.95831,0.96464,0.94756,0.98021,0.90842,0.37707,0.28234,0.92208,0.000219,0.000219,0.000219
73,5843.99,0.35362,0.30942,0.95934,0.98109,0.93989,0.9812,0.90672,0.38152,0.27764,0.92389,0.000208,0.000208,0.000208
74,5920.34,0.35179,0.30816,0.95361,0.96586,0.9529,0.97941,0.90597,0.37917,0.28971,0.92649,0.000197,0.000197,0.000197
75,5993.61,0.34794,0.31154,0.95787,0.97363,0.9364,0.97727,0.90593,0.37376,0.28649,0.92103,0.000186,0.000186,0.000186
76,6068.41,0.34429,0.30498,0.95278,0.97211,0.94459,0.97919,0.91138,0.37857,0.2875,0.92543,0.000175,0.000175,0.000175
77,6142.68,0.34862,0.31047,0.95311,0.97495,0.94573,0.98094,0.91339,0.37213,0.28047,0.92415,0.000164,0.000164,0.000164
78,6216.63,0.35129,0.30278,0.95987,0.97504,0.94642,0.9791,0.90548,0.37934,0.28888,0.93101,0.000153,0.000153,0.000153
79,6289.4,0.34157,0.29452,0.94445,0.97625,0.95066,0.98224,0.90905,0.37776,0.27815,0.93319,0.000142,0.000142,0.000142
80,6363.52,0.33971,0.29456,0.94597,0.97396,0.94777,0.98024,0.91275,0.36984,0.27837,0.92489,0.000131,0.000131,0.000131
81,6440.92,0.26068,0.23126,0.876,0.97063,0.94782,0.97979,0.90956,0.36571,0.28195,0.92587,0.00012,0.00012,0.00012
82,6513.08,0.24875,0.21225,0.86309,0.97861,0.94244,0.98142,0.91015,0.36743,0.28088,0.9258,0.000109,0.000109,0.000109
83,6584.73,0.24706,0.20386,0.86913,0.96871,0.94776,0.98009,0.90941,0.36566,0.28414,0.9237,9.8e-05,9.8e-05,9.8e-05
84,6655.72,0.24099,0.19436,0.86239,0.96862,0.94918,0.97877,0.91014,0.36423,0.27726,0.92471,8.7e-05,8.7e-05,8.7e-05
85,6727.82,0.23667,0.1954,0.86002,0.97324,0.94815,0.97965,0.90969,0.36967,0.28149,0.92999,7.6e-05,7.6e-05,7.6e-05
86,6801.99,0.23524,0.19098,0.85559,0.97476,0.94246,0.97973,0.91404,0.36123,0.27317,0.92046,6.5e-05,6.5e-05,6.5e-05
87,6875.18,0.23175,0.18839,0.85796,0.97137,0.94578,0.97945,0.91606,0.35683,0.27254,0.91584,5.4e-05,5.4e-05,5.4e-05
88,6949.87,0.22752,0.18507,0.85127,0.97739,0.94636,0.98037,0.91775,0.36039,0.27165,0.92064,4.3e-05,4.3e-05,4.3e-05
89,7022.43,0.2262,0.18257,0.85492,0.9802,0.94575,0.97962,0.91628,0.35662,0.26873,0.92022,3.2e-05,3.2e-05,3.2e-05
90,7095.61,0.22341,0.18206,0.85384,0.97211,0.94842,0.98072,0.91775,0.35506,0.26801,0.91696,2.1e-05,2.1e-05,2.1e-05
